"證期會代碼","公司簡稱","TSE 產業別"
UPDATE,"2012-03-28",0
1101,"台泥",1
1102,"亞泥",1
1103,"嘉泥",1
1104,"環泥",1
1108,"幸福",1
1109,"信大",1
1110,"東泥",1
1201,"味全",2
1203,"味王",2
1210,"大成",2
1213,"大飲",2
1215,"卜蜂",2
1216,"統一",2
1217,"愛之味",2
1218,"泰山",2
1219,"福壽",2
1220,"台榮",2
1225,"福懋油",2
1227,"佳格",2
1229,"聯華",2
1231,"聯華食",2
1232,"大統益",2
1233,"天仁",2
1234,"黑松",2
1235,"興泰",2
1236,"宏亞",2
1301,"台塑",3
1303,"南亞",3
1304,"台聚",3
1305,"華夏",3
1307,"三芳",3
1308,"亞聚",3
1309,"台達",3
1310,"台苯",3
1312,"國喬",3
1313,"聯成",3
1314,"中石化",3
1315,"達新",3
1316,"上曜",3
1319,"東陽",3
1321,"大洋",3
1323,"永裕",3
1324,"地球",3
1325,"恒大",3
1326,"台化",3
1337,"F-再生",3
1402,"遠東新",4
1409,"新纖",4
1410,"南染",4
1413,"宏洲",4
1414,"東和",4
1416,"廣豐",4
1417,"嘉裕",4
1418,"東華",4
1419,"新紡",4
1423,"利華",4
1432,"大魯閣",4
1434,"福懋",4
1435,"中福",20
1436,"福益",14
1437,"勤益",24
1438,"裕豐",4
1439,"中和",4
1440,"南紡",4
1441,"大東",4
1442,"名軒",14
1443,"立益",4
1444,"力麗",4
1445,"大宇",4
1446,"宏和",4
1447,"力鵬",4
1449,"佳和",4
1451,"年興",4
1452,"宏益",4
1453,"大將",4
1454,"台富",4
1455,"集盛",4
1456,"怡華",4
1457,"宜進",4
1459,"聯發",4
1460,"宏遠",4
1463,"強盛",4
1464,"得力",4
1465,"偉全",4
1466,"聚隆",4
1467,"南緯",4
1468,"昶和",4
1469,"理隆",4
1470,"大統",4
1471,"首利",28
1472,"三洋紡",4
1473,"台南",4
1474,"弘裕",4
1475,"本盟",4
1476,"儒鴻",4
1477,"聚陽",4
1503,"士電",5
1504,"東元",5
1506,"正道",5
1507,"永大",5
1512,"瑞利",5
1513,"中興電",5
1514,"亞力",5
1515,"力山",5
1516,"川飛",5
1517,"利奇",5
1519,"華城",5
1521,"大億",5
1522,"堤維西",5
1524,"耿鼎",5
1525,"江申",5
1526,"日馳",5
1527,"鑽全",5
1528,"恩德",5
1529,"樂士",5
1530,"亞崴",5
1531,"高林股",5
1532,"勤美",10
1533,"車王電",5
1535,"中宇",5
1536,"和大",5
1537,"廣隆",5
1538,"正峰新",5
1539,"巨庭",5
1540,"喬福",5
1541,"錩泰",5
1560,"中砂",5
1582,"信錦",28
1583,"程泰",5
1590,"F-亞德",5
1603,"華電",6
1604,"聲寶",6
1605,"華新",6
1608,"華榮",6
1609,"大亞",6
1611,"中電",6
1612,"宏泰",6
1613,"台一",6
1614,"三洋",6
1615,"大山",6
1616,"億泰",6
1617,"榮星",6
1618,"合機",6
1701,"中化",22
1702,"南僑",2
1704,"榮化",21
1707,"葡萄王",22
1708,"東鹼",21
1709,"和益",21
1710,"東聯",21
1711,"永光",21
1712,"興農",21
1713,"國化",21
1714,"和桐",21
1715,"亞化",3
1717,"長興",21
1718,"中纖",21
1720,"生達",22
1721,"三晃",21
1722,"台肥",21
1723,"中碳",21
1724,"台硝",21
1725,"元禎",21
1726,"永記",21
1727,"中華化",21
1729,"必翔",22
1730,"花仙子",21
1731,"美吾華",22
1732,"毛寶",21
1733,"五鼎",22
1734,"杏輝",22
1735,"日勝化",21
1736,"喬山",22
1737,"臺鹽",21
1762,"中化生",22
1773,"勝一",21
1789,"神隆",22
1802,"台玻",8
1805,"寶徠",14
1806,"冠軍",8
1808,"潤隆",14
1809,"中釉",8
1810,"和成",8
1902,"台紙",9
1903,"士紙",9
1904,"正隆",9
1905,"華紙",9
1906,"寶隆",9
1907,"永豐餘",9
1909,"榮成",9
2002,"中鋼",10
2006,"東鋼",10
2007,"燁興",10
2008,"高興昌",10
2009,"第一銅",10
2010,"春源",10
2012,"春雨",10
2013,"中鋼構",10
2014,"中鴻",10
2015,"豐興",10
2017,"官田鋼",10
2020,"美亞",10
2022,"聚亨",10
2023,"燁輝",10
2024,"志聯",10
2025,"千興",10
2027,"大成鋼",10
2028,"威致",10
2029,"盛餘",10
2030,"彰源",10
2031,"新光鋼",10
2032,"新鋼",10
2033,"佳大",10
2034,"允強",10
2038,"海光",10
2049,"上銀",5
2059,"川湖",28
2062,"橋椿",20
2101,"南港",11
2102,"泰豐",11
2103,"台橡",11
2104,"中橡",11
2105,"正新",11
2106,"建大",11
2107,"厚生",11
2108,"南帝",11
2109,"華豐",11
2114,"鑫永銓",11
2201,"裕隆",12
2204,"中華",12
2206,"三陽",12
2207,"和泰",12
2208,"台船",15
2227,"裕日車",12
2231,"為升",5
2301,"光寶科",25
2302,"麗正",24
2303,"聯電",24
2305,"全友",25
2308,"台達電",28
2311,"日月光",24
2312,"金寶",31
2313,"華通",28
2314,"台揚",27
2315,"神達",25
2316,"楠梓電",28
2317,"鴻海",31
2321,"東訊",27
2323,"中環",26
2324,"仁寶",25
2325,"矽品",24
2327,"國巨",28
2328,"廣宇",28
2329,"華泰",24
2330,"台積電",24
2331,"精英",25
2332,"友訊",27
2337,"旺宏",24
2338,"光罩",24
2340,"光磊",26
2342,"茂矽",24
2344,"華邦電",24
2345,"智邦",27
2347,"聯強",29
2348,"力廣",29
2349,"錸德",26
2351,"順德",24
2352,"佳世達",25
2353,"宏碁",25
2354,"鴻準",31
2355,"敬鵬",28
2356,"英業達",25
2357,"華碩",25
2358,"美格",25
2359,"所羅門",29
2360,"致茂",31
2361,"鴻友",25
2362,"藍天",25
2363,"矽統",24
2364,"倫飛",25
2365,"昆盈",25
2367,"燿華",28
2368,"金像電",28
2369,"菱生",24
2371,"大同",31
2373,"震旦行",31
2374,"佳能",26
2375,"智寶",28
2376,"技嘉",25
2377,"微星",25
2379,"瑞昱",24
2380,"虹光",25
2382,"廣達",25
2383,"台光電",28
2384,"勝華",26
2385,"群光",25
2387,"精元",25
2388,"威盛",24
2390,"云辰",31
2392,"正崴",28
2393,"億光",26
2395,"研華",25
2397,"友通",25
2399,"映泰",25
2401,"凌陽",24
2402,"毅嘉",27
2404,"漢唐",31
2405,"浩鑫",25
2406,"國碩",26
2408,"南科",24
2409,"友達",26
2412,"中華電",27
2413,"環科",28
2414,"精技",29
2415,"錩新",28
2417,"圓剛",25
2419,"仲琦",27
2420,"新巨",28
2421,"建準",28
2423,"固緯",31
2424,"隴華",25
2425,"承啟",24
2426,"鼎元",26
2427,"三商電",30
2428,"興勤",28
2429,"銘旺科",28
2430,"燦坤",29
2431,"聯昌",28
2433,"互盛電",31
2434,"統懋",24
2436,"偉詮電",24
2437,"旺詮",28
2438,"英誌",25
2439,"美律",27
2440,"太空梭",28
2441,"超豐",24
2442,"新美齊",25
2443,"新利虹",26
2444,"友旺",27
2448,"晶電",26
2449,"京元電",24
2450,"神腦",27
2451,"創見",24
2453,"凌群",30
2454,"聯發科",24
2455,"全新",27
2456,"奇力新",28
2457,"飛宏",28
2458,"義隆",24
2459,"敦吉",29
2460,"建通",28
2461,"光群雷",31
2462,"良得電",28
2464,"盟立",31
2465,"麗臺",25
2466,"冠西電",26
2467,"志聖",28
2468,"華經",30
2471,"資通",30
2472,"立隆電",28
2473,"思源",24
2474,"可成",25
2475,"華映",26
2476,"鉅祥",28
2477,"美隆電",31
2478,"大毅",28
2480,"敦陽科",30
2481,"強茂",24
2482,"連宇",31
2483,"百容",28
2484,"希華",28
2485,"兆赫",27
2486,"一詮",26
2488,"漢平",31
2489,"瑞軒",26
2491,"吉祥全",26
2492,"華新科",28
2493,"揚博",28
2495,"普安",31
2496,"卓越",27
2497,"怡利電",31
2498,"宏達電",27
2499,"東貝",26
2501,"國建",14
2504,"國產",14
2505,"國揚",14
2506,"太設",14
2509,"全坤建",14
2511,"太子",14
2514,"龍邦",20
2515,"中工",14
2516,"新建",14
2520,"冠德",14
2524,"京城",14
2527,"宏璟",14
2528,"皇普",14
2530,"華建",14
2534,"宏盛",14
2535,"達欣工",14
2536,"宏普",14
2537,"聯上發",14
2538,"基泰",14
2539,"櫻建",14
2540,"金尚昌",14
2542,"興富發",14
2543,"皇昌",14
2545,"皇翔",14
2546,"根基",14
2547,"日勝生",14
2548,"華固",14
2597,"潤弘",14
2601,"益航",15
2603,"長榮",15
2605,"新興",15
2606,"裕民",15
2607,"榮運",15
2608,"大榮",15
2609,"陽明",15
2610,"華航",15
2611,"志信",15
2612,"中航",15
2613,"中櫃",15
2614,"東森",15
2615,"萬海",15
2616,"山隆",23
2617,"台航",15
2618,"長榮航",15
2637,"F-慧洋",15
2701,"萬企",16
2702,"華園",16
2704,"國賓",16
2705,"六福",16
2706,"第一店",16
2707,"晶華",16
2722,"夏都",16
2723,"F-美食",16
2727,"王品",16
2801,"彰銀",17
2809,"京城銀",17
2812,"台中銀",17
2816,"旺旺保",17
2820,"華票",17
2823,"中壽",17
2832,"台產",17
2833,"台壽",17
2834,"臺企銀",17
2836,"高雄銀",17
2837,"萬泰銀",17
2838,"聯邦銀",17
2841,"台開",14
2845,"遠東銀",17
2847,"大眾銀",17
2849,"安泰銀",17
2850,"新產",17
2851,"中再保",17
2852,"第一保",17
2855,"統一證",17
2856,"元富證",17
2880,"華南金",17
2881,"富邦金",17
2882,"國泰金",17
2883,"開發金",17
2884,"玉山金",17
2885,"元大金",17
2886,"兆豐金",17
2887,"台新金",17
2888,"新光金",17
2889,"國票金",17
2890,"永豐金",17
2891,"中信金",17
2892,"第一金",17
2901,"欣欣",18
2903,"遠百",18
2904,"匯僑",20
2905,"三商行",18
2906,"高林",18
2908,"特力",18
2910,"統領",18
2911,"麗嬰房",18
2912,"統一超",18
2913,"農林",18
2915,"潤泰全",18
3002,"歐格",25
3003,"健和興",28
3004,"豐達科",10
3005,"神基",25
3006,"晶豪科",24
3008,"大立光",26
3010,"華立",29
3011,"今皓",28
3013,"晟銘電",25
3014,"聯陽",24
3015,"全漢",28
3016,"嘉晶",24
3017,"奇鋐",25
3018,"同開",31
3019,"亞光",26
3021,"衛展",30
3022,"威達電",25
3023,"信邦",28
3024,"憶聲",26
3025,"星通",27
3026,"禾伸堂",28
3027,"盛達",27
3028,"增你強",29
3029,"零壹",30
3030,"德律",31
3031,"佰鴻",26
3032,"偉訓",28
3033,"威健",29
3034,"聯詠",24
3035,"智原",24
3036,"文曄",29
3037,"欣興",28
3038,"全台",26
3040,"遠見",29
3041,"揚智",24
3042,"晶技",28
3043,"科風",31
3044,"健鼎",28
3045,"台灣大",27
3046,"建碁",25
3047,"訊舟",27
3048,"益登",29
3049,"和鑫",26
3050,"鈺德",26
3051,"力特",26
3052,"夆典",31
3054,"萬國",24
3055,"蔚華科",29
3056,"總太",14
3057,"喬鼎",25
3058,"立德",28
3059,"華晶科",26
3060,"銘異",25
3061,"璨圓",26
3062,"建漢",27
3080,"威力盟",26
3090,"日電貿",28
3094,"聯傑",24
3130,"一零四",30
3149,"正達",26
3164,"景岳",22
3189,"景碩",24
3209,"全科",29
3229,"晟鈦",28
3231,"緯創",25
3257,"虹冠電",24
3296,"勝德",28
3305,"昇貿",31
3308,"聯德",28
3311,"閎暉",27
3312,"弘憶股",29
3315,"宣昶",29
3356,"奇偶",26
3376,"新日興",28
3380,"明泰",27
3383,"新世紀",26
3406,"玉晶光",26
3419,"譁裕",27
3432,"台端",28
3443,"創意",24
3450,"聯鈞",31
3454,"晶睿",26
3474,"華亞科",24
3481,"奇美電",26
3494,"誠研",25
3501,"維熹",28
3504,"揚明光",26
3514,"昱晶",26
3515,"華擎",25
3518,"柏騰",31
3519,"綠能",24
3532,"台勝科",24
3533,"嘉澤",28
3535,"晶彩科",26
3536,"誠創",26
3545,"旭曜",24
3550,"聯穎",28
3557,"嘉威",26
3559,"全智科",24
3561,"昇陽科",26
3573,"穎台",26
3576,"新日光",26
3579,"尚志",24
3584,"介面",26
3588,"通嘉",24
3591,"艾笛森",26
3593,"力銘",26
3596,"智易",27
3598,"奕力",24
3605,"宏致",28
3607,"谷崧",28
3617,"碩天",31
3622,"洋華",26
3638,"F-IML",24
3645,"達邁",28
3653,"健策",28
3665,"F-貿聯",31
3669,"圓展",26
3673,"F-TPK",26
3679,"新至陞",28
3686,"達能",24
3694,"海華",27
3697,"F-晨星",24
3698,"隆達",26
3701,"大眾控",25
3702,"大聯大",29
3703,"欣陸",14
3704,"合勤控",27
3705,"永信",22
4104,"佳醫",22
4106,"雃博",22
4108,"懷特",22
4119,"旭富",22
4133,"亞諾法",22
4144,"F-康聯",22
4306,"炎洲",3
4414,"如興",4
4426,"利勤",4
4526,"東台",5
4532,"瑞智",5
4725,"信昌化",21
4733,"上緯",21
4737,"華廣",22
4746,"台耀",22
4904,"遠傳",27
4906,"正文",27
4919,"新唐",24
4930,"燦星網",6
4934,"太極",26
4935,"F-茂林",26
4938,"和碩",25
4942,"嘉彰",26
4952,"凌通",24
4956,"光鋐",26
4958,"F-臻鼎",28
4960,"奇美材",26
4984,"F-科納",27
5007,"三星",10
5203,"訊連",30
5215,"F-科嘉",25
5305,"敦南",24
5388,"中磊",27
5434,"崇越",29
5469,"瀚宇博",28
5471,"松翰",24
5484,"慧友",26
5515,"建國",14
5522,"遠雄",14
5525,"順天",14
5531,"鄉林",14
5533,"皇鼎建設",14
5534,"長虹",14
5607,"遠雄港",15
5608,"四維航",15
5706,"鳳凰",16
5871,"F-中租",20
5880,"合庫金",17
5906,"F-台南",18
6005,"群益證",17
6108,"競國",28
6112,"聚碩",30
6115,"鎰勝",28
6116,"彩晶",26
6117,"迎廣",25
6120,"輔祥",26
6128,"上福",25
6131,"悠克",26
6133,"金橋",28
6136,"富爾特",27
6139,"亞翔",31
6141,"柏承",28
6142,"友勁",27
6145,"勁永",24
6152,"百一",27
6153,"嘉聯益",28
6155,"鈞寶",28
6164,"華興",26
6165,"捷泰",28
6166,"凌華",25
6168,"宏齊",26
6172,"互億",25
6176,"瑞儀",26
6183,"關貿",30
6184,"大豐電",20
6189,"豐藝",29
6191,"精成科",28
6192,"巨路",31
6196,"帆宣",31
6197,"佳必琪",31
6201,"亞弘電",31
6202,"盛群",24
6205,"詮欣",28
6206,"飛捷",25
6209,"今國光",26
6213,"聯茂",28
6214,"精誠",30
6215,"和椿",31
6216,"居易",27
6224,"聚鼎",28
6225,"天瀚",26
6226,"光鼎",26
6230,"超眾",25
6235,"華孚",25
6239,"力成",24
6243,"迅杰",24
6251,"定穎",28
6257,"矽格",24
6269,"台郡",28
6271,"同欣電",24
6277,"宏正科",25
6278,"台表科",26
6281,"全國電",29
6282,"康舒",28
6283,"淳安",27
6285,"啟碁",27
6286,"立錡",24
6289,"華上",26
6505,"台塑化",23
6605,"帝寶",5
6702,"復航",15
8008,"建興電",25
8011,"台通",27
8016,"矽創",24
8021,"尖點",31
8033,"雷虎",20
8039,"台虹",28
8046,"南電",28
8070,"長華",29
8072,"陞泰",26
8078,"華寶",27
8081,"致新",24
8101,"華冠",27
8103,"瀚荃",28
8105,"凌巨",26
8110,"華東",24
8112,"至上",29
8131,"福懋科",24
8163,"達方",28
8199,"廣鎵",26
8201,"無敵",31
8210,"勤誠",25
8213,"志超",28
8215,"明基材",26
8249,"菱光",28
8261,"富鼎",24
8271,"宇瞻",24
8374,"羅昇",5
8404,"F-百和",20
8411,"F-福貞",20
8422,"可寧衛",20
8427,"F-基勝",20
8926,"台汽電",23
8940,"新天地",16
910069,"新曄",
9103,"美德醫",
910322,"康師傅",
9104,"萬宇科",
910482,"聖馬丁",
9105,"泰金寶",
910579,"歐聖",
9106,"新焦點",
910708,"新傳媒",
910801,"金衛",
910861,"神州",
910948,"Z-Obee",
9110,"越南控",
911201,"僑威控",
911602,"華豐泰",
911606,"超級",
911608,"明輝",
911609,"揚子江",
911610,"聯環",
911611,"中泰山",
911612,"滬安",
911616,"杜康",
911619,"HISAKA",
911622,"泰聚亨",
911626,"華運中國",
911868,"真明麗",
912000,"晨訊科",
912398,"友佳",
9136,"巨騰",
913889,"大成糖",
9151,"旺旺",
9157,"陽光能",
9188,"精熙",
9902,"台火",20
9904,"寶成",20
9905,"大華",20
9906,"興達",20
9907,"統一實",20
9908,"大台北",23
9910,"豐泰",20
9911,"櫻花",20
9912,"偉聯",25
9914,"美利達",20
9917,"中保",20
9918,"欣天然",23
9919,"康那香",20
9921,"巨大",20
9924,"福興",20
9925,"新保",20
9926,"新海",23
9927,"泰銘",20
9928,"中視",20
9929,"秋雨創新",20
9930,"中聯資",20
9931,"欣高",23
9933,"中鼎",20
9934,"成霖",20
9935,"慶豐富",20
9937,"全國",23
9938,"百和",20
9939,"宏全",20
9940,"信義",20
9941,"裕融",20
9942,"茂順",20
9943,"好樂迪",20
9944,"新麗",20
9945,"潤泰新",20
9955,"佳龍",20
9958,"世紀鋼",10
